Data File Name,Scale Name,Column Name,Reverse,min,max,transform,Belongingness,Self-esteem,Meaningful_existence,Control,Total_Score
TDS1_Session_2_B_Post,"NTS, Cyberball 2",NTS_1_cyb2,0,0,0,0,1,0,0,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 2",NTS_2_cyb2,0,0,0,0,1,0,0,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 2",NTS_3_cyb2,0,0,0,0,1,0,0,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 2",NTS_4_cyb2,1,1,5,0,0,1,0,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 2",NTS_5_cyb2,1,1,5,0,0,1,0,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 2",NTS_6_cyb2,1,1,5,0,0,1,0,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 2",NTS_7_cyb2,0,0,0,0,0,0,1,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 2",NTS_8_cyb2,0,0,0,0,0,0,1,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 2",NTS_9_cyb2,0,0,0,0,0,0,1,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 2",NTS_10_cyb2,1,1,5,0,0,0,0,1,1
TDS1_Session_2_B_Post,"NTS, Cyberball 2",NTS_11_cyb2,1,1,5,0,0,0,0,1,1
TDS1_Session_2_B_Post,"NTS, Cyberball 2",NTS_12_cyb2,1,1,5,0,0,0,0,1,1
